Day No.,Average 
1,206
2,204.5
3,204.5
4,197.1
5,196.7
6,194.7
7,193
8,191
9,191.7
10,189.1
11,186.6
12,179
13,176.7
14,175.6
15,174.3
16,174.3
17,162.5
18,160.7
19,158.2
20,156
21,153.6
22,151
23,150
24,145.5
25,142.4
26,141.1
27,139.7
28,135.9
29,134.7
30,129.4
31,126.7
32,126
33,121.7
34,119.4
35,118
36,115.8
37,111.7
38,108.8
39,106.6
40,104.8
41,102.7
42,101.6
43,100
44,98.4
45,96.8
46,94
47,91.2
48,89.8
49,89.1
50,88
